,ID,Income,Term,Balance,Debt,Score,Default
0,567,17500,Short Term,1460,272,225.0,False
1,523,18500,Long Term,890,970,187.0,False
2,544,20700,Short Term,880,884,85.0,False
3,370,21600,Short Term,920,0,,False
4,756,24300,Short Term,1260,0,495.0,False
5,929,22900,Long Term,1540,1229,383.0,False
6,373,20400,Short Term,1200,0,556.0,False
7,818,24600,Short Term,1470,0,301.0,False
8,284,26500,Long Term,720,1866,243.0,False
9,621,25400,Short Term,1130,0,729.0,True
10,404,19700,Short Term,910,0,186.0,False
11,763,20600,Short Term,820,1218,136.0,False
12,327,19300,Long Term,1300,0,422.0,False
13,664,23700,Short Term,1060,801,240.0,False
14,590,18800,Short Term,970,1542,59.0,True
15,24,23200,Short Term,610,0,325.0,False
16,931,18100,Short Term,1020,2133,34.0,True
17,400,18400,Short Term,940,892,195.0,True
18,905,17200,Short Term,1140,855,128.0,False
19,556,20200,Short Term,810,0,399.0,False
20,673,23500,Short Term,790,0,,False
21,537,19900,Short Term,1030,799,294.0,False
22,616,23100,Long Term,1260,737,426.0,True
23,422,21200,Short Term,730,975,88.0,False
24,73,16400,Short Term,780,1076,145.0,False
25,466,21000,Short Term,1480,0,447.0,False
26,363,18100,Short Term,1090,0,168.0,False
27,291,23200,Short Term,1260,460,487.0,False
28,326,17800,Short Term,630,0,337.0,False
29,483,24100,Short Term,800,0,380.0,False
30,563,17600,Long Term,950,0,334.0,False
31,838,21800,Short Term,940,568,244.0,False
32,740,22800,Long Term,1060,1816,145.0,True
33,216,16600,Short Term,730,0,257.0,False
34,302,22400,Short Term,1220,1313,191.0,False
35,236,19500,Short Term,1060,0,277.0,False
36,36,18500,Short Term,980,354,,True
37,606,18800,Short Term,800,324,347.0,False
38,716,19800,Short Term,800,843,243.0,False
39,471,18700,Short Term,580,0,233.0,False
40,158,23700,Short Term,880,703,316.0,True
41,986,19800,Short Term,940,0,371.0,False
42,841,20600,Short Term,1640,91,517.0,False
43,342,14500,Long Term,1110,0,296.0,False
44,210,25600,Short Term,920,227,318.0,False
45,778,20200,Short Term,920,1977,56.0,True
46,441,19900,Short Term,900,438,338.0,False
47,782,19000,Short Term,640,449,201.0,False
48,424,17400,Short Term,1360,0,324.0,False
49,566,21300,Short Term,830,793,237.0,False
50,789,23600,Long Term,860,0,350.0,False
51,301,18600,Short Term,520,500,268.0,False
52,583,20000,Short Term,1220,2698,10.0,True
53,268,17700,Short Term,640,0,289.0,False
54,608,25000,Short Term,1360,0,465.0,False
55,407,20400,Short Term,1040,446,247.0,False
56,67,20000,Short Term,1080,0,505.0,False
57,296,21200,Short Term,1020,984,250.0,False
